user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
伊迪絲·內斯比特	1	(5871)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00002	(7925)
依麗莎白·顧姬	1	(5871)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00002	(7925)
特倫斯·韓伯瑞·懷特	1	(5871)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00002	(7925)
简·奥斯丁	10	(937)	9	(867)	1	(3795)	3	(1003)	117246.83	(622)	0.00008	(3400)
克里斯托夫·托爾金	1	(5871)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00005	(4843)
J·尼利·约翰逊	2	(3968)	2	(4309)	1	(3795)	2	(2280)	2754.62	(4447)	0.00007	(3908)
约翰·B·韦勒	2	(3968)	2	(4309)	1	(3795)	2	(2280)	2628.76	(4475)	0.00008	(3496)
约翰·比格勒	2	(3968)	4	(2395)	1	(3795)	2	(2280)	20518.57	(2311)	0.00008	(3536)
J·爱德华·戴	0	(9125)	1	(6473)	0	(8154)	1	(4702)	0.00	(6155)	0.00001	(9867)
KOKIA	0	(9125)	3	(3107)	0	(8154)	2	(2280)	0.00	(6155)	0.00001	(11483)
Rie_fu	1	(5871)	2	(4309)	0	(8154)	1	(4702)	112.10	(5388)	0.00002	(8512)
張韶涵	24	(290)	13	(513)	9	(315)	6	(316)	32837.38	(1773)	0.00013	(2243)
鄭秀文	67	(34)	73	(40)	19	(1)	18	(50)	174389.68	(399)	0.00038	(378)
Kanon	7	(1351)	8	(1015)	2	(1675)	2	(2280)	718266.26	(65)	0.00012	(2279)
AIR_(消歧義)	11	(842)	0	(9867)	2	(1675)	0	(9245)	0.00	(6155)	0.00018	(1292)
佐藤朱	1	(5871)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00003	(6711)
安田美和	1	(5871)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00003	(6711)
杉田智和	8	(1187)	10	(735)	2	(1675)	3	(1003)	210629.32	(306)	0.00008	(3339)
樋上至	2	(3968)	3	(3107)	1	(3795)	1	(4702)	14741.00	(2759)	0.00005	(4428)
田村由香里	3	(2928)	6	(1510)	1	(3795)	2	(2280)	45720.30	(1417)	0.00003	(6007)
